contest,input_specification,letter,main_text,memory_limit,output_specification,tags,time_limit,title
110,The single line contains a positive integer n 1 n 105 the length of the sought string,B,Petya loves lucky numbers We all know that lucky numbers are the positive integers whose decimal representations contain only the lucky digits 4 and 7 For example numbers 47 744 4 are lucky and 5 17 467 are not Petya recently learned to determine whether a string of lowercase Latin letters is lucky For each individual letter all its positions in the string are written out in the increasing order This results in 26 lists of numbers some of them can be empty A string is considered lucky if and only if in each list the absolute difference of any two adjacent numbers is a lucky number For example let s consider string zbcdzefdzc The lists of positions of equal letters are b 2 c 3 10 d 4 8 e 6 f 7 z 1 5 9 Lists of positions of letters a g h y are empty This string is lucky as all differences are lucky numbers For letters z 5 - 1 4 9 - 5 4 for letters c 10 - 3 7 for letters d 8 - 4 4 Note that if some letter occurs only once in a string it doesn t influence the string s luckiness after building the lists of positions of equal letters The string where all the letters are distinct is considered lucky Find the lexicographically minimal lucky string whose length equals n,256 megabytes,Print on the single line the lexicographically minimal lucky string whose length equals n,['constructive algorithms'/ 'strings'],2 seconds,B Lucky String
111,The first line contains three space-separated integers n x and y 1 n 105 1 x 1012 1 y 106 Please do not use the lld specificator to read or write 64-bit integers in It is recommended to use cin cout streams or the I64d specificator,A,Little Petya loves inequations Help him find n positive integers a1 a2 an such that the following two conditions are satisfied a12 a22 an2 x a1 a2 an y,256 megabytes,Print n positive integers that satisfy the conditions one integer per line If such numbers do not exist print a single number -1 If there are several solutions print any of them,['greedy'],2 seconds,A Petya and Inequiations
111,The first line contains an integer n 1 n 105 Each of the following n lines contain two space-separated integers xi and yi 1 xi 105 0 yi i - 1 where i is the query s ordinal number the numeration starts with 1 If yi 0 for the query then the answer to the query will be the number of divisors of the number xi In this case you do not need to take the previous numbers x into consideration,B,Little Petya loves looking for numbers divisors One day Petya came across the following problem You are given n queries in the form xi yi For each query Petya should count how many divisors of number xi divide none of the numbers xi - yi xi - yi 1 xi - 1 Help him,256 megabytes,For each query print the answer on a single line the number of positive integers k such that,['binary search'/ 'data structures'/ 'number theory'],5 seconds,B Petya and Divisors
111,The first line contains two space-separated integers n and m 1 n m 40 n m 40 the board sizes,C,Little Petya loves training spiders Petya has a board n m in size Each cell of the board initially has a spider sitting on it After one second Petya chooses a certain action for each spider and all of them humbly perform its commands There are 5 possible commands to stay idle or to move from current cell to some of the four side-neighboring cells that is one command for each of the four possible directions Petya gives the commands so that no spider leaves the field It is allowed for spiders to pass through each other when they crawl towards each other in opposite directions All spiders crawl simultaneously and several spiders may end up in one cell Petya wants to know the maximum possible number of spider-free cells after one second,256 megabytes,In the first line print the maximum number of cells without spiders,['bitmasks'/ 'dp'/ 'dsu'],2 seconds,C Petya and Spiders
111,The first line contains space-separated integers n m and k 1 n m 1000 1 k 106 the board s vertical and horizontal sizes and the number of colors respectively,D,Little Petya loves counting He wants to count the number of ways to paint a rectangular checkered board of size n m n rows m columns in k colors Besides the coloring should have the following property for any vertical line that passes along the grid lines and divides the board in two non-empty parts the number of distinct colors in both these parts should be the same Help Petya to count these colorings,256 megabytes,Print the answer to the problem As the answer can be quite a large number you should print it modulo 109 7 1000000007,['combinatorics'/ 'dp'],5 seconds,D Petya and Coloring
111,The first line contains space-separated integers n and m 4 n m 1000 the number of rows and the number of columns in the rectangle correspondingly The second line contains space-separated integers x1 and y1 the coordinates of the first marked cell The third line contains space-separated integers x2 y2 the coordinates of the second marked cell 1 x1 x2 n 1 y1 y2 m x1 x2 y1 y2 The coordinates of a marked cell are a pair of integers x y where x represents the row s number and y represents the column s number The rows are numbered from top to bottom with consecutive integers from 1 to n The columns are numbered from the left to the right by consecutive integers from 1 to m It is guaranteed that the marked cells are not positioned in one row or column,E,Little Petya loves playing with rectangles Mom bought Petya a rectangle divided into cells n m in size containing n rows m columns Petya marked two different cells of the rectangle and now he is solving the following task Let s define a simple path between those two cells as a sequence of distinct cells a1 a2 ak where a1 and ak are the two marked cells Besides ai and ai 1 are side-neighboring cells of the path 1 i k Let s denote the path length as number k the sequence length Petya s task is to find the longest simple path s length and to print the path Help him,256 megabytes,In the first line print the length of the found path k In the next lines print k pairs of integers one per line coordinates of the cells that constitute the found path in the order in which they follow in the path the path must go from cell x1 y1 to cell x2 y2 If there are several solutions print any of them,[],5 seconds,E Petya and Rectangle
112,Each of the first two lines contains a bought string The strings lengths range from 1 to 100 inclusive It is guaranteed that the strings are of the same length and also consist of uppercase and lowercase Latin letters,A,Little Petya loves presents His mum bought him two strings of the same size for his birthday The strings consist of uppercase and lowercase Latin letters Now Petya wants to compare those two strings lexicographically The letters case does not matter that is an uppercase letter is considered equivalent to the corresponding lowercase letter Help Petya perform the comparison,256 megabytes,If the first string is less than the second one print -1 If the second string is less than the first one print 1 If the strings are equal print 0 Note that the letters case is not taken into consideration when the strings are compared,['implementation'/ 'strings'],2 seconds,A Petya and Strings
112,The first line contains three space-separated integers 2n x and y 2 2n 100 1 x y 2n representing the length of a square s side and the coordinates of the marked cell It is guaranteed that 2n is even The coordinates of the marked cell are represented by a pair of numbers x y where x represents the number of the row and y represents the number of the column The rows and columns are numbered by consecutive integers from 1 to 2n The rows are numbered from top to bottom and the columns are numbered from the left to the right,B,Little Petya loves playing with squares Mum bought him a square 2n 2n in size Petya marked a cell inside the square and now he is solving the following task The task is to draw a broken line that would go along the grid lines and that would cut the square into two equal parts The cutting line should not have any common points with the marked cell and the resulting two parts should be equal up to rotation Petya wants to determine whether it is possible to cut the square in the required manner given the sizes of the square side and the coordinates of the marked cell Help him,256 megabytes,If the square is possible to cut print YES otherwise print NO without the quotes,['implementation'/ 'math'],2 seconds,B Petya and Square
113,The first line contains one or more words consisting of lowercase Latin letters The overall number of characters including letters and spaces does not exceed 105 It is guaranteed that any two consecutive words are separated by exactly one space and the input data do not contain any other spaces It is possible that given words do not belong to the Petya s language,A,Petya got interested in grammar on his third year in school He invented his own language called Petya s Petya wanted to create a maximally simple language that would be enough to chat with friends that s why all the language s grammar can be described with the following set of rules There are three parts of speech the adjective the noun the verb Each word in his language is an adjective noun or verb There are two genders masculine and feminine Each word in his language has gender either masculine or feminine Masculine adjectives end with -lios and feminine adjectives end with -liala Masculine nouns end with -etr and feminime nouns end with -etra Masculine verbs end with -initis and feminime verbs end with -inites Thus each word in the Petya s language has one of the six endings given above There are no other endings in Petya s language It is accepted that the whole word consists of an ending That is words lios liala etr and so on belong to the Petya s language There aren t any punctuation marks grammatical tenses singular plural forms or other language complications A sentence is either exactly one valid language word or exactly one statement Statement is any sequence of the Petya s language that satisfy both conditions Words in statement follow in the following order from the left to the right zero or more adjectives followed by exactly one noun followed by zero or more verbs All words in the statement should have the same gender After Petya s friend Vasya wrote instant messenger an instant messaging program that supported the Petya s language Petya wanted to add spelling and grammar checking to the program As Vasya was in the country and Petya didn t feel like waiting he asked you to help him with this problem Your task is to define by a given sequence of words whether it is true that the given text represents exactly one sentence in Petya s language,256 megabytes,If some word of the given text does not belong to the Petya s language or if the text contains more that one sentence print NO without the quotes Otherwise print YES without the quotes,['implementation'/ 'strings'],5 seconds,A Grammar Lessons
113,The input file consists of three lines The first line contains string t The second and the third lines contain the sbegin and send identificators correspondingly All three lines are non-empty strings consisting of lowercase Latin letters The length of each string doesn t exceed 2000 characters,B,Long ago when Petya was a schoolboy he was very much interested in the Petr language grammar During one lesson Petya got interested in the following question how many different continuous substrings starting with the sbegin and ending with the send it is possible sbegin send the given string t has Substrings are different if and only if their contents aren t equal their positions of occurence don t matter Petya wasn t quite good at math that s why he couldn t count this number Help him,256 megabytes,Output the only number the amount of different substrings of t that start with sbegin and end with send,['brute force'/ 'data structures'/ 'hashing'/ 'strings'],2 seconds,B Petr
113,The first line of the input contains integer numbers l r 1 l r 3 108,C,On the math lesson a teacher asked each pupil to come up with his own lucky numbers As a fan of number theory Peter chose prime numbers Bob was more original He said that number t is his lucky number if it can be represented as t a2 b2 where a b are arbitrary positive integers Now the boys decided to find out how many days of the interval l r l r are suitable for pair programming They decided that the day i l i r is suitable for pair programming if and only if the number i is lucky for Peter and lucky for Bob at the same time Help the boys to find the number of such days,128 megabytes,In the only line print the number of days on the segment l r which are lucky for Peter and Bob at the same time,['brute force'/ 'number theory'],3 seconds,C Double Happiness
113,The first line contains four integers n 1 n 22 representing the numbers of rooms m representing the number of corridors a b 1 a b n representing the numbers of Petya s and Vasya s starting rooms correspondingly Next m lines contain pairs of numbers the numbers of rooms connected by a corridor Next n lines contain probabilities pi 0 01 pi 0 99 with the accuracy of up to four digits after the decimal point the probability to stay in room i It is guaranteed that every room can be reached from every other room by corridors,D,One day as Petya and his friend Vasya were having one of their numerous trips they decided to visit a museum castle The museum has a specific shape it consists of n rooms connected with m corridors so that one can access any room from any other one After the two friends had a little walk around the museum they decided to split and watch the pieces of art each of them found interesting They agreed to meet in one of the rooms at six p m However they forgot one quite essential thing they didn t specify the place to meet and when the time came they started to rush about the museum looking for each other they couldn t call each other as roaming made a call s cost skyrocket Yet even despite the whole rush they couldn t get enough of the pieces of art that s why each of them has the following strategy each minute he make a decision where to go with probability pi he doesn t move to any other place during this minute i e he stays in the room With probability 1 - pi he equiprobably choose one of the adjacent rooms and went there along the corridor Here i is the ordinal number of the current room Building was expensive in ancient times that s why each corridor connected two different rooms and any two rooms had no more than one corridor between them The boys act simultaneously As the corridors are dark it is impossible to meet there however one can walk along the corridors in both directions besides the two boys can be going through the same corridor simultaneously without meeting The boys act like that until they meet each other More formally the two friends meet when at some moment of time both of them decided to appear in the same room For each room find the probability that the boys will meet there considering that at 6 p m they are positioned in rooms a and b correspondingly,256 megabytes,In the only line print n space-separated numbers the i-th number should represent the probability that the friends meet in the i-th room with absolute or relative error of no more than 10 - 6,['matrices'/ 'probabilities'],2 seconds,D Museum
113,The first line of the input file contains three space-separated integers h m and k 2 h m 109 1 k 20 The second line contains space-separated integers h1 m1 0 h1 h 0 m1 m The third line contains space-separated integers h2 m2 0 h2 h 0 m2 m,E,One day Vasya was lying in bed watching his electronic clock to fall asleep quicker Vasya lives in a strange country where days have h hours and every hour has m minutes Clock shows time in decimal number system in format H M where the string H always has a fixed length equal to the number of digits in the decimal representation of number h - 1 To achieve this leading zeros are added if necessary The string M has a similar format and its length is always equal to the number of digits in the decimal representation of number m - 1 For example if h 17 m 1000 then time equal to 13 hours and 75 minutes will be displayed as 13 075 Vasya had been watching the clock from h1 hours m1 minutes to h2 hours m2 minutes inclusive and then he fell asleep Now he asks you to count how many times he saw the moment at which at least k digits changed on the clock simultaneously For example when switching 04 19 04 20 two digits change When switching 23 59 00 00 four digits change Consider that Vasya has been watching the clock for strictly less than one day Note that the last time Vasya saw on the clock before falling asleep was h2 m2 That is Vasya didn t see the moment at which time h2 m2 switched to the next value,256 megabytes,Print a single number the number of times Vasya saw the moment of changing at least k digits simultaneously Please do not use the lld specificator to read or write 64-bit integers in C It is preferred to use the cin stream also you may use the I64d specificator,['combinatorics'/ 'implementation'/ 'math'],2 seconds,E Sleeping
114,The first input line contains integer number k the second line contains integer number l 2 k l 231 - 1,A,When Petya went to school he got interested in large numbers and what they were called in ancient times For instance he learned that the Russian word tma which now means too much to be counted used to stand for a thousand and tma tmyschaya which literally means the tma of tmas used to stand for a million Petya wanted to modernize the words we use for numbers and invented a word petricium that represents number k Moreover petricium la petricium stands for number k2 petricium la petricium la petricium stands for k3 and so on All numbers of this form are called petriciumus cifera and the number s importance is the number of articles la in its title Petya s invention brought on a challenge that needed to be solved quickly does some number l belong to the set petriciumus cifera As Petya is a very busy schoolboy he needs to automate the process he asked you to solve it,256 megabytes,You should print in the first line of the output YES if the number belongs to the set petriciumus cifera and otherwise print NO If the number belongs to the set then print on the seconds line the only number the importance of number l,['math'],2 seconds,A Cifera
114,The first line contains two integer numbers n 1 n 16 the number of volunteers and m the number of pairs that do not get on Next n lines contain the volunteers names each name is a non-empty string consisting of no more than 10 uppercase and or lowercase Latin letters Next m lines contain two names the names of the volunteers who do not get on The names in pair are separated with a single space Each pair of volunteers who do not get on occurs exactly once The strings are case-sensitive All n names are distinct,B,When little Petya grew up and entered the university he started to take part in contests Later he realized that he doesn t like how the contests are organised the team could only have three members and he couldn t take all his friends to the competitions and distribute the tasks between the team members efficiently so he decided to organize his own contests PFAST Inc Petr and Friends Are Solving Tasks Corporation PFAST Inc rules allow a team to have unlimited number of members To make this format of contests popular he organised his own tournament To create the team he will prepare for the contest organised by the PFAST Inc rules he chose several volunteers up to 16 people and decided to compile a team from them Petya understands perfectly that if a team has two people that don t get on well then the team will perform poorly Put together a team with as many players as possible given that all players should get on well with each other,256 megabytes,The first output line should contain the single number k the number of people in the sought team Next k lines should contain the names of the sought team s participants in the lexicographical order If there are several variants to solve the problem print any of them Petya might not be a member of the sought team,['bitmasks'/ 'brute force'],2 seconds,B PFAST Inc
115,The first line contains integer n 1 n 2000 the number of employees The next n lines contain the integers pi 1 pi n or pi -1 Every pi denotes the immediate manager for the i-th employee If pi is -1 that means that the i-th employee does not have an immediate manager It is guaranteed that no employee will be the immediate manager of him herself pi i Also there will be no managerial cycles,A,A company has n employees numbered from 1 to n Each employee either has no immediate manager or exactly one immediate manager who is another employee with a different number An employee A is said to be the superior of another employee B if at least one of the following is true Employee A is the immediate manager of employee B Employee B has an immediate manager employee C such that employee A is the superior of employee C The company will not have a managerial cycle That is there will not exist an employee who is the superior of his her own immediate manager Today the company is going to arrange a party This involves dividing all n employees into several groups every employee must belong to exactly one group Furthermore within any single group there must not be two employees A and B such that A is the superior of B What is the minimum number of groups that must be formed,256 megabytes,Print a single integer denoting the minimum number of groups that will be formed in the party,['dfs and similar'/ 'graphs'/ 'trees'],3 seconds,A Party
115,The first line contains two integers n and m 1 n m 150 the number of rows and columns respectively Then follow n lines containing m characters each the content of the grid G means that this cell contains grass W means that this cell contains weeds It is guaranteed that the top-left corner of the grid will contain grass,B,You have a garden consisting entirely of grass and weeds Your garden is described by an n m grid with rows numbered 1 to n from top to bottom and columns 1 to m from left to right Each cell is identified by a pair r c which means that the cell is located at row r and column c Each cell may contain either grass or weeds For example a 4 5 garden may look as follows empty cells denote grass You have a land-mower with you to mow all the weeds Initially you are standing with your lawnmower at the top-left corner of the garden That is at cell 1 1 At any moment of time you are facing a certain direction either left or right And initially you face right In one move you can do either one of these 1 Move one cell in the direction that you are facing if you are facing right move from cell r c to cell r c 1 if you are facing left move from cell r c to cell r c - 1 2 Move one cell down that is from cell r c to cell r 1 c and change your direction to the opposite one if you were facing right previously you will face left if you were facing left previously you will face right You are not allowed to leave the garden Weeds will be mowed if you and your lawnmower are standing at the cell containing the weeds your direction doesn t matter This action isn t counted as a move What is the minimum number of moves required to mow all the weeds,256 megabytes,Print a single number the minimum number of moves required to mow all the weeds,['greedy'/ 'sortings'],2 seconds,B Lawnmower
115,The first line will contain two single-space separated integers n and m 1 n m n m 5 105 the number of rows and columns respectively Then n lines follow each contains exactly m characters the description of the grid Each character describes a cell and is either one of these 1 - 4 a pipe segment of one of four types as described above an empty cell,C,Little John aspires to become a plumber Today he has drawn a grid consisting of n rows and m columns consisting of n m square cells In each cell he will draw a pipe segment He can only draw four types of segments numbered from 1 to 4 illustrated as follows Each pipe segment has two ends illustrated by the arrows in the picture above For example segment 1 has ends at top and left side of it Little John considers the piping system to be leaking if there is at least one pipe segment inside the grid whose end is not connected to another pipe s end or to the border of the grid The image below shows an example of leaking and non-leaking systems of size 1 2 Now you will be given the grid that has been partially filled by Little John Each cell will either contain one of the four segments above or be empty Find the number of possible different non-leaking final systems after Little John finishes filling all of the empty cells with pipe segments Print this number modulo 1000003 106 3 Note that rotations or flipping of the grid are not allowed and so two configurations that are identical only when one of them has been rotated or flipped either horizontally or vertically are considered two different configurations,256 megabytes,Print a single integer denoting the number of possible final non-leaking pipe systems modulo 1000003 106 3 If there are no such configurations print 0,['math'],3 seconds,C Plumber
115,The first line is a non-empty string consisting of digits 0 - 9 and characters - and or Its length will not exceed 2000 The line doesn t contain any spaces,D,Let s define an unambiguous arithmetic expression UAE as follows All non-negative integers are UAE s Integers may have leading zeroes for example 0000 and 0010 are considered valid integers If X and Y are two UAE s then X Y X - Y X Y and X Y all without the double quotes are UAE s If X is an UAE then - X and X both without the double quotes are UAE s You are given a string consisting only of digits 0 - 9 and characters - and Your task is to compute the number of different possible unambiguous arithmetic expressions such that if all brackets characters and of that unambiguous arithmetic expression are removed it becomes the input string Since the answer may be very large print it modulo 1000003 106 3,256 megabytes,Print a single integer representing the number of different unambiguous arithmetic expressions modulo 1000003 106 3 such that if all its brackets are removed it becomes equal to the input string character-by-character,['dp'/ 'expression parsing'],2 seconds,D Unambiguous Arithmetic Expression
115,The first line contains two single-space separated integers n and m 1 n m 2 105 denoting the number of roads and the number of races respectively Then n lines follow each line will contain a single non-negative integer not exceeding 109 denoting the cost to repair a road The costs are given in order from road 1 to road n Finally m lines follow Each line is single-space-separated triplets of integers Each triplet will be given as lb ub and p 1 lb ub n 1 p 109 which means that the race these three integers describe will use all the roads from lb to ub inclusive and if it s held you get p,E,You are a car race organizer and would like to arrange some races in Linear Kingdom Linear Kingdom has n consecutive roads spanning from left to right The roads are numbered from 1 to n from left to right thus the roads follow in the order of their numbers increasing There will be several races that may be held on these roads Each race will use a consecutive subset of these roads Also each race will pay some amount of money to you if this race is held No races overlap in time so some roads can be used in several races Unfortunately some of the roads are in a bad condition and they need repair Each road has repair costs associated with it you are required to pay this cost to repair the road A race can only take place if all the roads used in the race are renovated Your task is to repair such roads possibly all or none that will maximize your profit Your profit is defined as the total money you get from the races that are held minus the total money you spent to repair the roads Note that you may decide not to repair any road and gain zero profit Print the maximum profit you can gain,256 megabytes,Print a single integer denoting the maximum possible profit you can gain Please do not use the lld specificator to read or write 64-bit integers in C It is recommended to use cin cout stream also you may use I64d specificator,['data structures'/ 'dp'],5 seconds,E Linear Kingdom Races
116,The first line contains a single number n 2 n 1000 the number of the tram s stops Then n lines follow each contains two integers ai and bi 0 ai bi 1000 the number of passengers that exits the tram at the i-th stop and the number of passengers that enter the tram at the i-th stop The stops are given from the first to the last stop in the order of tram s movement The number of people who exit at a given stop does not exceed the total number of people in the tram immediately before it arrives at the stop More formally This particularly means that a1 0 At the last stop all the passengers exit the tram and it becomes empty More formally No passenger will enter the train at the last stop That is bn 0,A,Linear Kingdom has exactly one tram line It has n stops numbered from 1 to n in the order of tram s movement At the i-th stop ai passengers exit the tram while bi passengers enter it The tram is empty before it arrives at the first stop Also when the tram arrives at the last stop all passengers exit so that it becomes empty Your task is to calculate the tram s minimum capacity such that the number of people inside the tram at any time never exceeds this capacity Note that at each stop all exiting passengers exit before any entering passenger enters the tram,256 megabytes,Print a single integer denoting the minimum possible capacity of the tram 0 is allowed,['implementation'],2 seconds,A Tram
116,The first line contains integers n and m 1 n m 10 which denotes the number of rows and columns in our two-dimensional grid respectively Then follow n lines containing m characters each that is the grid description means that this cell is empty P means that this cell contains a little pig W means that this cell contains a wolf It is guaranteed that there will be at most one wolf adjacent to any little pig,B,Once upon a time there were several little pigs and several wolves on a two-dimensional grid of size n m Each cell in this grid was either empty containing one little pig or containing one wolf A little pig and a wolf are adjacent if the cells that they are located at share a side The little pigs are afraid of wolves so there will be at most one wolf adjacent to each little pig But each wolf may be adjacent to any number of little pigs They have been living peacefully for several years But today the wolves got hungry One by one each wolf will choose one of the little pigs adjacent to it if any and eats the poor little pig This process is not repeated That is each wolf will get to eat at most one little pig Once a little pig gets eaten it disappears and cannot be eaten by any other wolf What is the maximum number of little pigs that may be eaten by the wolves,256 megabytes,Print a single number the maximal number of little pigs that may be eaten by the wolves,['greedy'/ 'implementation'],2 seconds,B Little Pigs and Wolves
117,The first line contains two space-separated integers n and m 1 n 105 2 m 108 Next n lines contain information about the participants in the form of three space-separated integers si fi ti 1 si fi m 0 ti 108 described in the problem statement,A,And now the numerous qualifying tournaments for one of the most prestigious Russian contests Russian Codec Cup are over All n participants who have made it to the finals found themselves in a huge m-floored 108-star hotel Of course the first thought to come in a place like this is How about checking out the elevator The hotel s elevator moves between floors according to one never changing scheme Initially at the moment of time 0 the elevator is located on the 1-st floor then it moves to the 2-nd floor then to the 3-rd floor and so on until it reaches the m-th floor After that the elevator moves to floor m - 1 then to floor m - 2 and so on until it reaches the first floor This process is repeated infinitely We know that the elevator has infinite capacity we also know that on every floor people get on the elevator immediately Moving between the floors takes a unit of time For each of the n participant you are given si which represents the floor where the i-th participant starts fi which represents the floor the i-th participant wants to reach and ti which represents the time when the i-th participant starts on the floor si For each participant print the minimum time of his her arrival to the floor fi If the elevator stops on the floor si at the time ti then the i-th participant can enter the elevator immediately If the participant starts on the floor si and that s the floor he wanted to reach initially si fi then the time of arrival to the floor fi for this participant is considered equal to ti,256 megabytes,Print n lines each containing one integer the time of the arrival for each participant to the required floor,['implementation'/ 'math'],1 second,A Elevator
117,The first line contains three integers a b mod 0 a b 109 1 mod 107,B,In a very ancient country the following game was popular Two people play the game Initially first player writes a string s1 consisting of exactly nine digits and representing a number that does not exceed a After that second player looks at s1 and writes a string s2 consisting of exactly nine digits and representing a number that does not exceed b Here a and b are some given constants s1 and s2 are chosen by the players The strings are allowed to contain leading zeroes If a number obtained by the concatenation joining together of strings s1 and s2 is divisible by mod then the second player wins Otherwise the first player wins You are given numbers a b mod Your task is to determine who wins if both players play in the optimal manner If the first player wins you are also required to find the lexicographically minimum winning move,256 megabytes,If the first player wins print 1 and the lexicographically minimum string s1 he has to write to win If the second player wins print the single number 2,['brute force'/ 'number theory'],2 seconds,B Very Interesting Game
117,The first line contains an integer n 1 n 5000 Next n lines contain the adjacency matrix A of the graph without spaces Ai j 1 if the graph has an edge going from vertex i to vertex j otherwise Ai j 0 Ai j stands for the j-th character in the i-th line It is guaranteed that the given graph is a tournament that is Ai i 0 Ai j Aj i 1 i j n i j,C,A tournament is a directed graph without self-loops in which every pair of vertexes is connected by exactly one directed edge That is for any two vertexes u and v u v exists either an edge going from u to v or an edge from v to u You are given a tournament consisting of n vertexes Your task is to find there a cycle of length three,256 megabytes,Print three distinct vertexes of the graph a1 a2 a3 1 ai n such that Aa1 a2 Aa2 a3 Aa3 a1 1 or -1 if a cycle whose length equals three does not exist If there are several solutions print any of them,['dfs and similar'/ 'graphs'],2 5 seconds,C Cycle
117,The first line contains three integers n m mod 1 n 1018 1 m 105 1 mod 109 Next m lines describe the queries Each query is defined by four integers l r u v 1 l r n 1 u v 1018 Please do not use the lld specificator to read or write 64-bit integers in C Use I64d specificator,D,Let a be an array consisting of n numbers The array s elements are numbered from 1 to n even is an array consisting of the numerals whose numbers are even in a eveni a2i 1 2i n odd is an array consisting of the numberals whose numbers are odd in oddi a2i - 1 1 2i - 1 n Then let s define the transformation of array F a in the following manner if n 1 F a F odd F even where operation stands for the arrays concatenation joining together if n 1 F a a Let a be an array consisting of n numbers 1 2 3 n Then b is the result of applying the transformation to the array a so b F a You are given m queries l r u v Your task is to find for each query the sum of numbers bi such that l i r and u bi v You should print the query results modulo mod,256 megabytes,Print m lines each containing an integer remainder modulo mod of the query result,['divide and conquer'/ 'math'],6 seconds,D Not Quick Transformation
117,The first line contains two integers n and m 3 n 105 1 m 105 Then n lines describe the graph edges as a b 1 a b n Next m lines contain the queries as v u 1 v u n It is guaranteed that the graph is connected does not have any self-loops or multiple edges,E,You are given an undirected connected graph G consisting of n vertexes and n edges G contains no self-loops or multiple edges Let each edge has two states on and off Initially all edges are switched off You are also given m queries represented as v u change the state of all edges on the shortest path from vertex v to vertex u in graph G If there are several such paths the lexicographically minimal one is chosen More formally let us consider all shortest paths from vertex v to vertex u as the sequences of vertexes v v1 v2 u Among such sequences we choose the lexicographically minimal one After each query you should tell how many connected components has the graph whose vertexes coincide with the vertexes of graph G and edges coincide with the switched on edges of graph G,256 megabytes,Print m lines each containing one integer the query results,['data structures'/ 'divide and conquer'/ 'implementation'/ 'trees'],5 seconds,E Tree or not Tree
118,The first line represents input string of Petya s program This string only consists of uppercase and lowercase Latin letters and its length is from 1 to 100 inclusive,A,Petya started to attend programming lessons On the first lesson his task was to write a simple program The program was supposed to do the following in the given string consisting if uppercase and lowercase Latin letters it deletes all the vowels inserts a character before each consonant replaces all uppercase consonants with corresponding lowercase ones Vowels are letters A O Y E U I and the rest are consonants The program s input is exactly one string it should return the output as a single string resulting after the program s processing the initial string Help Petya cope with this easy task,256 megabytes,Print the resulting string It is guaranteed that this string is not empty,['implementation'/ 'strings'],2 seconds,A String Task
118,The first line contains the single integer n 2 n 9,B,Vasya s birthday is approaching and Lena decided to sew a patterned handkerchief to him as a present Lena chose digits from 0 to n as the pattern The digits will form a rhombus The largest digit n should be located in the centre The digits should decrease as they approach the edges For example for n 5 the handkerchief pattern should look like that 0 0 1 0 0 1 2 1 0 0 1 2 3 2 1 0 0 1 2 3 4 3 2 1 00 1 2 3 4 5 4 3 2 1 0 0 1 2 3 4 3 2 1 0 0 1 2 3 2 1 0 0 1 2 1 0 0 1 0 0Your task is to determine the way the handkerchief will look like by the given n,256 megabytes,Print a picture for the given n You should strictly observe the number of spaces before the first digit on each line Every two adjacent digits in the same line should be separated by exactly one space There should be no spaces after the last digit at the end of each line,['constructive algorithms'/ 'implementation'],2 seconds,B Present from Lena
118,The first line contains two space-separated integers n and k 2 n 104 2 k n which represent how many digits the number has and how many equal digits a beautiful number should have The second line consists of n digits It describes the old number of Vasya s car It is guaranteed that the number contains no spaces and only contains digits,C,A car number in Berland consists of exactly n digits A number is called beautiful if it has at least k equal digits Vasya wants to change the digits in his car s number so that the number became beautiful To replace one of n digits Vasya has to pay the sum of money equal to the absolute difference between the old digit and the new one Help Vasya find the minimum sum of money he should pay to make the number of his car beautiful You should also find the resulting beautiful number If there are several such numbers then print the lexicographically minimum one,256 megabytes,On the first line print the minimum sum of money Vasya needs to change the number On the second line print the car s new number If there are several solutions print the lexicographically minimum one,['brute force'/ 'greedy'/ 'sortings'/ 'strings'],2 seconds,C Fancy Number
118,The only line contains four space-separated integers n1 n2 k1 k2 1 n1 n2 100 1 k1 k2 10 which represent how many footmen and horsemen there are and the largest acceptable number of footmen and horsemen standing in succession correspondingly,D,Gaius Julius Caesar a famous general loved to line up his soldiers Overall the army had n1 footmen and n2 horsemen Caesar thought that an arrangement is not beautiful if somewhere in the line there are strictly more that k1 footmen standing successively one after another or there are strictly more than k2 horsemen standing successively one after another Find the number of beautiful arrangements of the soldiers Note that all n1 n2 warriors should be present at each arrangement All footmen are considered indistinguishable among themselves Similarly all horsemen are considered indistinguishable among themselves,256 megabytes,Print the number of beautiful arrangements of the army modulo 100000000 108 That is print the number of such ways to line up the soldiers that no more than k1 footmen stand successively and no more than k2 horsemen stand successively,['dp'],2 seconds,D Caesar s Legions
118,The first line contains two space-separated integers n and m 2 n 105 n - 1 m 3 105 which represent the number of junctions and the roads in the town correspondingly Then follow m lines each containing two numbers which describe the roads in the city Each road is determined by two integers ai and bi 1 ai bi n ai bi the numbers of junctions it connects It is guaranteed that one can get from any junction to any other one along the existing bidirectional roads Each road connects different junctions there is no more than one road between each pair of junctions,E,Bertown has n junctions and m bidirectional roads We know that one can get from any junction to any other one by the existing roads As there were more and more cars in the city traffic jams started to pose real problems To deal with them the government decided to make the traffic one-directional on all the roads thus easing down the traffic Your task is to determine whether there is a way to make the traffic one-directional so that there still is the possibility to get from any junction to any other one If the answer is positive you should also find one of the possible ways to orient the roads,256 megabytes,If there s no solution print the single number 0 Otherwise print m lines each containing two integers pi and qi each road s orientation That is the traffic flow will move along a one-directional road from junction pi to junction qi You can print the roads in any order If there are several solutions to that problem print any of them,['dfs and similar'/ 'graphs'],5 seconds,E Bertown roads
